Building_Age,Number_of_Floors,Total_Area,Number_of_Windows,Insulation_Type,Heating_System,Cooling_System,Energy_Consumption
40,27,37603,131,Polyurethane,Heat Pump,Heat Pump,2133624.56
40,46,93070,126,Spray Foam,Geothermal,Central AC,3521759.28
50,20,64874,499,Spray Foam,Radiant,None,3011584.0
29,36,55990,160,Mineral Wool,Boiler,Evaporative,1146955.63
76,41,54411,415,Spray Foam,Heat Pump,Evaporative,1226267.6
53,33,96514,405,Polyurethane,Boiler,None,4918413.86
17,30,41978,498,Spray Foam,Forced Air,Evaporative,2092940.7
3,9,29523,70,Fiberglass,Forced Air,Evaporative,749535.53
26,12,9755,13,Cellulose,Radiant,Central AC,106490.84
73,14,49806,200,Spray Foam,Boiler,Window Units,3925733.25
95,7,28135,275,Fiberglass,Boiler,Evaporative,2143215.65
35,30,30763,322,Mineral Wool,Geothermal,Evaporative,2023487.43
67,27,95642,105,Fiberglass,Heat Pump,None,2290471.19
89,13,68189,353,Fiberglass,Radiant,Heat Pump,2958603.16
92,26,81885,469,Polyurethane,Radiant,None,7532635.72
98,36,96038,34,Fiberglass,Boiler,None,6258066.6
64,38,74319,46,Cellulose,Heat Pump,Central AC,2417260.91
20,30,84859,48,Fiberglass,Heat Pump,Central AC,2638100.28
98,17,77384,481,Mineral Wool,Geothermal,Heat Pump,2393051.48
94,48,10108,110,Polyurethane,Geothermal,Window Units,265639.48
25,50,40260,496,Polyurethane,Forced Air,Central AC,1483278.55
14,20,68319,282,Mineral Wool,Heat Pump,None,922134.25
52,35,94449,166,Mineral Wool,Heat Pump,Evaporative,5250061.39
46,48,23975,329,Cellulose,Boiler,Evaporative,198765.73
6,15,56581,197,Cellulose,Radiant,Evaporative,2620476.31
35,13,20736,282,Mineral Wool,Boiler,Central AC,296847.58
29,20,14413,267,Fiberglass,Boiler,Heat Pump,903681.0
7,16,14207,309,Mineral Wool,Radiant,Central AC,344324.43
34,20,76184,134,Mineral Wool,Radiant,Evaporative,2248579.95
60,42,11477,41,Spray Foam,Heat Pump,Heat Pump,652190.34
14,39,79462,107,Mineral Wool,Heat Pump,Heat Pump,3484973.95
84,12,23522,165,Fiberglass,Heat Pump,Evaporative,1760196.88
27,43,70832,50,Spray Foam,Radiant,Evaporative,4473154.9
62,9,91982,159,Mineral Wool,Forced Air,Evaporative,5879162.22
65,20,26934,85,Fiberglass,Boiler,Window Units,266573.59
2,22,24296,227,Fiberglass,Heat Pump,Heat Pump,959225.71
65,41,10512,439,Mineral Wool,Geothermal,Window Units,692921.48
92,49,8811,40,Mineral Wool,Geothermal,Heat Pump,283120.02
29,8,52134,486,Cellulose,Boiler,Central AC,2363086.8
95,40,9628,442,Mineral Wool,Boiler,Window Units,594337.16
61,23,22723,141,Spray Foam,Radiant,Window Units,1692679.46
66,34,38190,179,Cellulose,Geothermal,Central AC,336196.12
26,13,31224,65,Fiberglass,Radiant,Central AC,1520566.6
21,10,26879,29,Spray Foam,Boiler,Evaporative,632180.74
13,6,45252,193,Fiberglass,Boiler,Window Units,1141568.42
42,43,70059,296,Cellulose,Radiant,Window Units,4908265.98
29,8,3080,194,Cellulose,Heat Pump,Evaporative,72149.87
39,45,8708,374,Cellulose,Forced Air,Window Units,152131.83
76,15,28908,423,Polyurethane,Heat Pump,Central AC,582918.76
19,37,15535,133,Polyurethane,Geothermal,None,280174.11
73,25,21294,35,Mineral Wool,Geothermal,None,1647428.41
77,2,27932,175,Spray Foam,Radiant,Heat Pump,612684.23
22,26,13881,161,Fiberglass,Boiler,Heat Pump,375910.11
50,17,55382,135,Mineral Wool,Geothermal,Heat Pump,2018603.44
39,32,60868,58,Cellulose,Radiant,None,832226.72
32,25,31429,463,Fiberglass,Radiant,None,462653.07
82,8,42888,492,Spray Foam,Radiant,None,2784046.73
27,14,45535,475,Fiberglass,Boiler,Central AC,1137260.72
37,42,2458,308,Spray Foam,Geothermal,Evaporative,40967.69
77,45,6791,32,Cellulose,Radiant,None,458963.07
53,29,76422,412,Polyurethane,Boiler,Evaporative,3461522.69
76,43,50922,299,Spray Foam,Forced Air,Evaporative,4128562.54
96,37,4764,60,Mineral Wool,Forced Air,None,243972.15
62,21,55135,298,Polyurethane,Forced Air,Heat Pump,3324673.46
15,48,58793,81,Cellulose,Geothermal,Heat Pump,2251731.0
86,17,30054,398,Fiberglass,Geothermal,Evaporative,1505746.0
1,27,94394,24,Spray Foam,Radiant,Evaporative,3510303.97
91,49,55247,492,Fiberglass,Radiant,Evaporative,4904617.95
76,18,75512,345,Fiberglass,Boiler,Window Units,6096518.51
23,35,79762,177,Mineral Wool,Radiant,Window Units,2704574.62
70,17,30582,91,Spray Foam,Geothermal,Window Units,2445553.85
61,4,78778,373,Spray Foam,Heat Pump,Evaporative,3782348.7
97,13,25891,298,Spray Foam,Forced Air,Evaporative,2129442.54
3,48,81702,182,Fiberglass,Forced Air,None,485414.23
1,47,40088,298,Cellulose,Heat Pump,Evaporative,455317.44
37,39,98789,275,Cellulose,Geothermal,Central AC,3034123.97
35,7,26707,303,Mineral Wool,Radiant,Window Units,1582635.74
51,9,74895,345,Fiberglass,Boiler,Evaporative,602650.94
75,38,38544,393,Polyurethane,Geothermal,Heat Pump,2620701.97
31,17,74291,485,Spray Foam,Boiler,None,3922611.8
94,49,89315,155,Fiberglass,Forced Air,Window Units,5064040.79
75,26,5187,81,Fiberglass,Geothermal,None,48700.54
10,20,84364,202,Polyurethane,Radiant,Central AC,3271068.73
27,50,47041,295,Mineral Wool,Boiler,Central AC,2149687.98
12,4,82418,455,Fiberglass,Heat Pump,Heat Pump,4356091.35
87,23,82217,378,Fiberglass,Heat Pump,Central AC,7011824.6
80,22,51281,101,Fiberglass,Forced Air,None,1379174.92
89,14,20255,328,Polyurethane,Heat Pump,Window Units,199021.51
7,36,99253,143,Mineral Wool,Heat Pump,Heat Pump,1440238.22
5,23,77071,447,Polyurethane,Geothermal,Heat Pump,2136307.71
48,33,1256,396,Spray Foam,Forced Air,Evaporative,87684.2
88,36,26933,177,Fiberglass,Geothermal,None,1634506.86
88,7,70679,360,Polyurethane,Boiler,Window Units,5046375.35
19,25,84401,24,Spray Foam,Boiler,Evaporative,4190660.68
85,26,48874,437,Polyurethane,Forced Air,Heat Pump,3010968.46
51,45,48261,493,Spray Foam,Radiant,Evaporative,1912223.88
17,19,92520,311,Fiberglass,Heat Pump,None,3710399.17
96,39,44728,203,Polyurethane,Geothermal,Central AC,2516910.67
72,25,61909,227,Spray Foam,Radiant,Evaporative,1658677.89
5,46,94124,310,Fiberglass,Heat Pump,Central AC,4425910.56
61,33,92937,468,Spray Foam,Radiant,Evaporative,3368535.39
85,18,5106,329,Polyurethane,Boiler,Central AC,55075.14
40,23,22601,124,Fiberglass,Boiler,None,754787.03
46,33,60936,411,Mineral Wool,Radiant,Window Units,2029743.12
52,15,94484,168,Mineral Wool,Heat Pump,Central AC,6743684.98
12,27,14561,125,Polyurethane,Heat Pump,Window Units,512338.43
100,45,20281,472,Cellulose,Radiant,Central AC,1958188.33
60,3,81052,273,Mineral Wool,Heat Pump,Window Units,1801804.51
57,3,30372,414,Mineral Wool,Radiant,Central AC,1655634.63
46,37,69933,208,Mineral Wool,Radiant,Window Units,1806075.58
82,37,15926,71,Mineral Wool,Geothermal,Window Units,851364.83
9,48,69039,82,Spray Foam,Geothermal,Evaporative,1100804.61
82,44,17316,56,Fiberglass,Boiler,Window Units,436354.95
22,40,2754,490,Cellulose,Heat Pump,Central AC,31351.35
25,22,51108,42,Fiberglass,Boiler,Evaporative,1477435.03
79,25,61490,226,Mineral Wool,Geothermal,Heat Pump,2146148.67
78,42,97601,222,Polyurethane,Forced Air,Window Units,5725527.96
53,8,94334,103,Polyurethane,Boiler,Evaporative,2202792.42
63,29,84895,429,Mineral Wool,Heat Pump,Window Units,2555245.46
47,20,69844,296,Mineral Wool,Forced Air,Window Units,2844075.87
72,40,64746,122,Spray Foam,Forced Air,Heat Pump,1318753.5
76,6,98661,444,Cellulose,Geothermal,Window Units,7449411.28
1,17,25131,79,Cellulose,Heat Pump,None,974802.88
5,4,21003,470,Spray Foam,Geothermal,None,993338.77
59,10,74548,80,Spray Foam,Radiant,Window Units,5820240.16
55,44,52787,129,Cellulose,Boiler,Evaporative,2947812.79
55,23,39065,114,Cellulose,Forced Air,Heat Pump,1177993.53
68,33,35492,455,Cellulose,Radiant,Window Units,1466431.48
32,43,66367,480,Polyurethane,Radiant,Window Units,4203322.69
6,16,69495,59,Spray Foam,Heat Pump,Heat Pump,3002330.72
14,39,20129,451,Spray Foam,Heat Pump,Evaporative,255558.8
52,19,31004,111,Spray Foam,Heat Pump,Central AC,1696984.29
17,31,82748,483,Cellulose,Heat Pump,Window Units,594245.33
75,2,84057,496,Polyurethane,Boiler,Central AC,4130956.54
53,28,6764,144,Mineral Wool,Forced Air,None,236327.7
5,29,94255,310,Spray Foam,Radiant,None,910671.92
19,45,72768,114,Mineral Wool,Radiant,Evaporative,2773155.07
8,23,24523,60,Polyurethane,Radiant,Evaporative,744352.38
3,49,15266,439,Fiberglass,Heat Pump,Central AC,262293.91
54,5,99318,39,Spray Foam,Boiler,Evaporative,5974826.47
29,29,18695,88,Mineral Wool,Forced Air,Heat Pump,1168798.38
62,50,91640,101,Polyurethane,Boiler,Window Units,2257560.25
13,42,14203,398,Polyurethane,Geothermal,None,216591.17
59,43,10557,322,Polyurethane,Forced Air,Evaporative,146601.79
92,4,63086,457,Cellulose,Forced Air,Evaporative,3063309.12
80,36,46362,470,Mineral Wool,Geothermal,Heat Pump,4089380.98
5,34,80495,152,Fiberglass,Geothermal,None,3729472.22
34,7,26168,323,Spray Foam,Radiant,None,1358894.39
27,34,33267,279,Spray Foam,Boiler,None,1047099.61
98,4,9678,490,Polyurethane,Radiant,Central AC,599847.6
6,7,52186,333,Spray Foam,Forced Air,Evaporative,1840700.85
33,2,69224,460,Fiberglass,Forced Air,Evaporative,3633061.67
33,14,63557,415,Mineral Wool,Radiant,Evaporative,3434183.4
100,11,55622,181,Cellulose,Forced Air,Heat Pump,3011107.24
26,35,39723,275,Mineral Wool,Heat Pump,None,887771.85
96,39,89210,213,Polyurethane,Radiant,Evaporative,5179633.38
81,35,83433,77,Spray Foam,Heat Pump,Central AC,1233933.64
30,49,22808,435,Mineral Wool,Heat Pump,Heat Pump,440553.89
74,26,68547,92,Cellulose,Radiant,Window Units,4070880.69
3,7,21493,95,Cellulose,Heat Pump,Heat Pump,1010898.9
54,47,8522,215,Cellulose,Forced Air,Evaporative,181877.08
47,19,73878,443,Mineral Wool,Heat Pump,None,1545851.86
42,8,10005,265,Mineral Wool,Boiler,None,277781.18
26,24,36358,411,Spray Foam,Heat Pump,Central AC,1699979.17
16,30,95390,390,Mineral Wool,Geothermal,Heat Pump,2527863.53
61,6,7149,364,Spray Foam,Geothermal,Window Units,357724.93
89,44,89771,130,Polyurethane,Forced Air,None,5887304.08
35,28,7235,386,Spray Foam,Forced Air,Heat Pump,56918.95
79,22,26224,492,Cellulose,Boiler,Window Units,709754.31
83,7,73881,440,Spray Foam,Heat Pump,Heat Pump,2269843.24
81,37,14772,92,Polyurethane,Forced Air,Heat Pump,855193.99
39,15,50844,443,Spray Foam,Forced Air,Heat Pump,459424.31
60,10,26375,440,Fiberglass,Geothermal,Heat Pump,1888444.91
38,35,21983,422,Mineral Wool,Radiant,Window Units,828684.52
14,32,38773,353,Mineral Wool,Boiler,Window Units,2060294.81
39,43,97464,190,Fiberglass,Forced Air,Window Units,4745611.93
54,2,87605,184,Polyurethane,Heat Pump,Window Units,2427010.02
18,31,20617,24,Fiberglass,Geothermal,None,611307.24
80,21,79779,147,Cellulose,Radiant,Central AC,3711301.58
16,37,49155,111,Polyurethane,Heat Pump,Central AC,2103428.56
40,14,70615,481,Fiberglass,Geothermal,Heat Pump,2393257.21
45,3,53684,171,Cellulose,Boiler,Heat Pump,2899042.21
15,4,3237,144,Cellulose,Boiler,Heat Pump,49323.99
58,12,99801,286,Polyurethane,Heat Pump,Evaporative,1845056.3
17,40,85579,304,Spray Foam,Boiler,Evaporative,2166306.6
89,28,92602,234,Mineral Wool,Geothermal,Heat Pump,7214645.91
68,7,10992,46,Cellulose,Heat Pump,Central AC,609389.34
29,40,53604,133,Mineral Wool,Geothermal,Evaporative,1295965.86
90,15,47303,322,Cellulose,Geothermal,Window Units,937222.03
17,40,68531,322,Spray Foam,Radiant,Heat Pump,2349539.71
74,38,4071,95,Mineral Wool,Forced Air,Central AC,178378.79
24,26,70393,18,Fiberglass,Geothermal,Window Units,3623784.62
83,45,30323,425,Spray Foam,Radiant,Heat Pump,2617101.56
22,34,85633,30,Fiberglass,Geothermal,None,784303.58
27,7,23013,481,Cellulose,Boiler,Heat Pump,878641.18
26,3,18992,157,Mineral Wool,Geothermal,Window Units,1161494.57
56,34,13839,433,Polyurethane,Geothermal,None,690385.86
62,2,50588,450,Cellulose,Radiant,Central AC,2098125.19
11,43,52521,112,Fiberglass,Forced Air,Central AC,445092.66
56,24,54654,461,Spray Foam,Forced Air,Evaporative,3560438.44
44,5,45366,316,Polyurethane,Geothermal,Window Units,524294.59
19,21,58760,307,Polyurethane,Heat Pump,None,1545119.16
6,37,70278,344,Spray Foam,Forced Air,Window Units,1533966.65
15,50,63754,458,Cellulose,Forced Air,Window Units,1549893.92
20,33,8877,382,Mineral Wool,Geothermal,None,325831.77
34,1,54852,312,Fiberglass,Geothermal,Window Units,2631263.5
45,33,63967,317,Mineral Wool,Geothermal,Central AC,2280108.9
97,28,5845,429,Fiberglass,Geothermal,Window Units,465489.23
29,4,54000,283,Polyurethane,Forced Air,Heat Pump,2000259.42
74,29,80406,162,Spray Foam,Boiler,None,3847656.64
21,17,46204,267,Cellulose,Radiant,Central AC,281608.47
18,13,99311,269,Mineral Wool,Radiant,Evaporative,4689621.84
16,17,35587,235,Mineral Wool,Geothermal,Heat Pump,1300905.79
27,8,70857,347,Fiberglass,Forced Air,Heat Pump,1885271.36
85,9,32851,47,Cellulose,Geothermal,Evaporative,1439758.71
74,27,20927,164,Mineral Wool,Geothermal,None,597059.25
71,42,32512,109,Cellulose,Geothermal,Evaporative,1376802.0
90,44,96003,445,Cellulose,Geothermal,Central AC,1011421.33
8,7,46819,384,Cellulose,Forced Air,Window Units,629104.73
56,1,22343,111,Mineral Wool,Radiant,Evaporative,1069667.52
58,7,46526,330,Fiberglass,Radiant,None,1318718.32
88,16,15697,276,Polyurethane,Geothermal,Central AC,221321.54
5,8,20932,500,Fiberglass,Heat Pump,Central AC,1076960.29
27,9,21733,328,Polyurethane,Heat Pump,None,825959.78
73,12,37917,396,Polyurethane,Boiler,Central AC,1583961.24
9,38,81970,34,Fiberglass,Heat Pump,None,1552193.87
8,14,65927,358,Polyurethane,Geothermal,Heat Pump,556363.67
9,32,57907,380,Cellulose,Forced Air,None,3124162.03
57,29,80299,141,Polyurethane,Boiler,Heat Pump,4615655.51
66,1,10229,412,Cellulose,Geothermal,Window Units,290803.82
26,41,89379,434,Spray Foam,Forced Air,None,3181742.22
77,46,32698,81,Fiberglass,Forced Air,Window Units,1272518.44
96,30,22446,243,Spray Foam,Heat Pump,None,1027215.45
87,47,38654,499,Fiberglass,Geothermal,Window Units,1728469.93
51,23,87389,41,Polyurethane,Heat Pump,Evaporative,5666053.89
49,27,33919,392,Mineral Wool,Radiant,Evaporative,2314281.88
60,10,14402,140,Cellulose,Forced Air,Evaporative,846511.08
97,37,15657,436,Cellulose,Heat Pump,Central AC,1162486.53
72,35,68120,177,Fiberglass,Heat Pump,Evaporative,5471816.27
84,3,91889,185,Polyurethane,Geothermal,Window Units,1934375.1
21,33,93519,62,Fiberglass,Boiler,Central AC,2811831.15
23,4,9789,262,Spray Foam,Heat Pump,None,71357.22
88,7,94017,362,Mineral Wool,Boiler,Window Units,2226372.52
10,42,89001,270,Cellulose,Heat Pump,Evaporative,3537090.38
76,14,58152,281,Spray Foam,Geothermal,Central AC,2160883.86
25,32,73481,194,Mineral Wool,Forced Air,Heat Pump,4465388.47
49,7,93061,22,Spray Foam,Radiant,Evaporative,1965382.11
80,32,3327,188,Polyurethane,Boiler,Heat Pump,51114.37
79,34,10300,23,Fiberglass,Boiler,Window Units,213107.06
3,38,44016,286,Fiberglass,Geothermal,Heat Pump,431751.71
10,6,84287,104,Polyurethane,Forced Air,Central AC,912022.7
28,37,9579,180,Mineral Wool,Geothermal,Heat Pump,310175.24
64,21,97580,174,Polyurethane,Geothermal,Central AC,5070268.35
35,2,90685,115,Mineral Wool,Geothermal,Heat Pump,1224903.48
65,35,45423,74,Mineral Wool,Heat Pump,Window Units,3295228.62
91,37,71680,84,Polyurethane,Forced Air,Window Units,5569919.83
53,13,67201,209,Cellulose,Geothermal,Central AC,1508382.86
38,16,54363,255,Spray Foam,Forced Air,None,2511864.92
36,32,37614,386,Spray Foam,Heat Pump,Heat Pump,1664588.45
93,2,77637,473,Cellulose,Forced Air,Evaporative,5112914.62
16,24,54701,204,Spray Foam,Heat Pump,Evaporative,602045.56
26,48,34325,239,Fiberglass,Boiler,Window Units,1480371.42
53,38,41806,39,Mineral Wool,Forced Air,Heat Pump,2233681.26
24,48,87322,272,Fiberglass,Boiler,None,4282066.99
61,19,82617,130,Fiberglass,Radiant,Central AC,4405380.35
53,10,48742,231,Cellulose,Geothermal,Heat Pump,1491877.36
40,15,26236,398,Spray Foam,Boiler,None,1241463.67
34,7,40565,381,Mineral Wool,Boiler,Window Units,915054.86
62,27,18874,72,Fiberglass,Boiler,Window Units,585827.46
1,41,17286,224,Mineral Wool,Radiant,Window Units,664627.21
57,23,28152,98,Fiberglass,Heat Pump,None,785202.97
96,22,93157,17,Fiberglass,Geothermal,Window Units,7028978.43
72,9,36678,70,Polyurethane,Heat Pump,Central AC,2993462.96
38,36,66273,28,Mineral Wool,Boiler,Central AC,2456800.3
9,15,52432,405,Fiberglass,Radiant,Heat Pump,1139443.99
92,48,6863,261,Spray Foam,Forced Air,None,298623.24
73,26,81258,389,Fiberglass,Boiler,Window Units,2496082.72
64,19,30793,327,Fiberglass,Radiant,Heat Pump,1162680.77
84,13,9958,114,Cellulose,Radiant,None,672560.17
94,30,58859,242,Cellulose,Forced Air,Evaporative,3474636.64
91,18,75159,104,Mineral Wool,Geothermal,Central AC,5731743.39
64,17,42930,178,Polyurethane,Heat Pump,Evaporative,3477330.36
86,8,29095,192,Spray Foam,Boiler,Heat Pump,1396254.35
55,40,72358,422,Fiberglass,Forced Air,Central AC,5374291.85
15,35,52523,239,Mineral Wool,Radiant,Heat Pump,2422562.83
74,39,79017,228,Cellulose,Heat Pump,Evaporative,3255102.26
65,20,76449,437,Polyurethane,Radiant,Window Units,6103793.05
88,37,65950,172,Fiberglass,Geothermal,Heat Pump,4116008.74
92,41,52543,286,Polyurethane,Heat Pump,Window Units,1995151.65
53,3,24875,147,Polyurethane,Geothermal,Window Units,462304.33
40,11,69933,131,Cellulose,Heat Pump,None,1151945.26
34,17,31943,442,Polyurethane,Heat Pump,Window Units,497451.4
26,25,80111,173,Mineral Wool,Geothermal,Heat Pump,2718389.37
1,41,10150,244,Cellulose,Boiler,Evaporative,404445.06
79,30,77944,228,Polyurethane,Geothermal,Heat Pump,4864130.48
18,37,9397,36,Polyurethane,Forced Air,Evaporative,91903.17
58,19,79968,319,Polyurethane,Radiant,Central AC,5710366.33
25,37,66473,491,Mineral Wool,Geothermal,Window Units,2459438.69
13,48,79547,93,Polyurethane,Boiler,Evaporative,1834116.54
31,33,67354,123,Cellulose,Geothermal,Evaporative,3883619.31
75,48,58114,83,Fiberglass,Geothermal,Central AC,3771840.78
9,17,61542,266,Fiberglass,Forced Air,Central AC,2323222.67
16,48,3341,310,Polyurethane,Geothermal,None,185805.24
39,3,7119,355,Fiberglass,Geothermal,None,398745.85
98,11,33502,400,Polyurethane,Forced Air,Central AC,1754702.31
69,32,4313,200,Mineral Wool,Radiant,None,351597.82
46,1,29110,355,Mineral Wool,Geothermal,Window Units,1226798.24
83,44,43432,174,Spray Foam,Heat Pump,Central AC,3668940.72
3,10,6134,124,Spray Foam,Boiler,Evaporative,280172.39
92,26,95471,467,Mineral Wool,Radiant,None,8390710.16
19,44,19038,162,Fiberglass,Radiant,Window Units,563560.2
89,18,73367,436,Polyurethane,Boiler,Window Units,2969557.23
68,33,50314,59,Spray Foam,Geothermal,Heat Pump,3861803.35
28,9,74211,293,Fiberglass,Forced Air,Window Units,2456951.31
74,48,35900,452,Cellulose,Forced Air,Heat Pump,2923003.44
72,19,73708,121,Polyurethane,Boiler,Evaporative,2180528.85
81,4,86521,349,Polyurethane,Radiant,Window Units,5473634.34
71,28,79415,228,Cellulose,Heat Pump,Evaporative,1632138.2
2,27,9561,359,Spray Foam,Radiant,Central AC,186078.6
34,40,54760,473,Cellulose,Heat Pump,Central AC,563996.48
41,11,53560,144,Cellulose,Radiant,None,2328220.5
68,7,31611,282,Fiberglass,Boiler,Evaporative,1937980.96
27,41,14032,423,Cellulose,Heat Pump,Central AC,263058.96
78,36,9133,131,Fiberglass,Boiler,Heat Pump,90230.54
67,5,91492,254,Mineral Wool,Geothermal,Window Units,7602966.33
22,45,23809,473,Polyurethane,Boiler,Window Units,210298.33
4,18,29142,233,Fiberglass,Boiler,Evaporative,1339916.07
47,1,4733,500,Polyurethane,Heat Pump,Evaporative,240614.98
75,23,81873,353,Polyurethane,Heat Pump,Evaporative,3904810.48
38,2,88279,57,Mineral Wool,Geothermal,None,883096.09
11,1,35841,94,Spray Foam,Boiler,Evaporative,1679209.04
1,20,62556,251,Fiberglass,Radiant,Central AC,1337215.43
87,24,54158,414,Polyurethane,Radiant,Heat Pump,1333969.07
69,39,85673,223,Polyurethane,Forced Air,Heat Pump,947408.53
2,32,47715,182,Polyurethane,Heat Pump,Heat Pump,638000.05
2,34,77602,286,Cellulose,Forced Air,Window Units,2861982.22
4,7,99834,212,Cellulose,Geothermal,Heat Pump,2872638.1
20,31,43229,187,Polyurethane,Radiant,Central AC,2583180.52
56,31,92529,413,Fiberglass,Heat Pump,Evaporative,738236.11
35,8,16520,343,Mineral Wool,Geothermal,Evaporative,665585.45
100,47,1717,294,Mineral Wool,Boiler,Heat Pump,170812.79
87,2,35646,155,Fiberglass,Boiler,Heat Pump,1235912.41
19,34,91116,491,Mineral Wool,Geothermal,Evaporative,3839943.72
79,33,19368,317,Mineral Wool,Heat Pump,Window Units,1609466.4
12,45,13371,99,Cellulose,Geothermal,None,377655.83
4,16,86509,80,Mineral Wool,Boiler,Central AC,2230808.27
98,37,24683,36,Fiberglass,Radiant,Heat Pump,1396434.94
98,27,8158,476,Fiberglass,Geothermal,None,748444.98
18,1,75049,198,Mineral Wool,Boiler,None,1999864.75
61,1,53277,252,Fiberglass,Heat Pump,Window Units,2808689.23
88,26,49370,499,Spray Foam,Radiant,Evaporative,4144673.65
15,36,89218,419,Mineral Wool,Geothermal,Heat Pump,4204332.39
88,36,84385,300,Fiberglass,Heat Pump,Heat Pump,1518878.8
57,32,2045,283,Polyurethane,Boiler,Evaporative,56113.37
100,21,1350,410,Polyurethane,Geothermal,Evaporative,133335.02
6,21,91071,236,Spray Foam,Forced Air,None,1858020.71
31,28,90654,486,Cellulose,Forced Air,Central AC,3139833.43
96,37,26059,424,Polyurethane,Forced Air,Heat Pump,1746553.44
91,47,82615,486,Mineral Wool,Forced Air,None,2086557.1
9,34,50959,438,Cellulose,Heat Pump,None,2252583.62
45,35,14910,404,Spray Foam,Radiant,Heat Pump,740822.44
10,16,43796,305,Mineral Wool,Forced Air,Heat Pump,705203.31
62,35,14558,196,Polyurethane,Geothermal,Window Units,253890.91
29,36,85544,203,Cellulose,Radiant,Evaporative,2107455.98
69,1,5649,32,Cellulose,Radiant,Evaporative,451823.24
37,42,77599,321,Polyurethane,Geothermal,Evaporative,2244786.09
75,35,92554,362,Mineral Wool,Radiant,None,2857887.91
81,43,8018,43,Cellulose,Geothermal,Central AC,671147.24
14,21,63063,14,Polyurethane,Forced Air,Window Units,374039.97
20,41,99101,380,Mineral Wool,Geothermal,Central AC,3639827.47
6,38,48959,431,Polyurethane,Heat Pump,Heat Pump,1801246.85
37,43,67493,332,Spray Foam,Forced Air,Evaporative,2826346.93
50,22,69585,171,Cellulose,Geothermal,Window Units,1998330.09
4,33,60561,257,Fiberglass,Radiant,Evaporative,2091136.86
41,35,52093,10,Mineral Wool,Boiler,Central AC,2845889.03
34,42,19307,99,Polyurethane,Forced Air,Window Units,820975.31
95,2,93717,334,Mineral Wool,Geothermal,Heat Pump,5201499.38
50,43,7223,380,Fiberglass,Radiant,Window Units,348647.69
47,18,91234,44,Mineral Wool,Radiant,Window Units,4762903.77
94,21,50743,280,Mineral Wool,Heat Pump,Window Units,2392530.6
36,43,74001,84,Cellulose,Heat Pump,Heat Pump,571520.43
38,43,94941,288,Spray Foam,Radiant,Heat Pump,2466638.27
31,5,97651,362,Cellulose,Forced Air,None,3959123.74
50,46,67786,479,Fiberglass,Forced Air,Evaporative,1602466.11
20,34,34715,467,Spray Foam,Heat Pump,None,2053777.2
79,2,21973,155,Spray Foam,Geothermal,None,272084.69
71,40,15018,165,Mineral Wool,Radiant,Heat Pump,1020798.11
24,45,38778,210,Mineral Wool,Heat Pump,Central AC,595440.11
76,13,38457,338,Fiberglass,Geothermal,Window Units,1331572.62
30,7,63962,46,Fiberglass,Boiler,Window Units,3017298.64
46,30,5179,330,Spray Foam,Radiant,None,322589.11
38,33,84010,417,Cellulose,Heat Pump,None,2234890.16
65,10,43925,66,Mineral Wool,Geothermal,Central AC,2264867.91
68,21,12954,93,Fiberglass,Forced Air,Central AC,307697.86
84,2,71288,404,Cellulose,Radiant,Evaporative,6096695.0
33,27,74343,128,Polyurethane,Geothermal,Evaporative,2065886.05
80,1,2463,145,Cellulose,Radiant,Evaporative,182656.87
33,12,25412,106,Cellulose,Boiler,Evaporative,1285525.61
78,16,20896,378,Fiberglass,Boiler,None,927523.81
55,43,92984,38,Spray Foam,Geothermal,None,2412658.22
77,36,5492,198,Cellulose,Boiler,Heat Pump,442279.18
23,25,56191,401,Cellulose,Forced Air,Heat Pump,1332853.18
90,3,81377,89,Fiberglass,Radiant,Central AC,7699675.56
81,24,74797,136,Spray Foam,Radiant,Heat Pump,1677304.37
96,18,67009,112,Spray Foam,Radiant,Window Units,3621401.49
16,10,26414,250,Fiberglass,Geothermal,Window Units,1048501.33
93,21,14369,73,Mineral Wool,Radiant,Central AC,1239116.07
25,46,41567,311,Cellulose,Forced Air,Evaporative,2553131.12
69,8,6103,274,Mineral Wool,Heat Pump,Window Units,51662.29
1,9,25427,218,Fiberglass,Forced Air,Window Units,649889.75
83,4,93123,250,Mineral Wool,Boiler,Central AC,2647372.46
28,39,23542,287,Cellulose,Radiant,Heat Pump,1474823.36
51,35,60598,409,Mineral Wool,Heat Pump,Evaporative,537607.13
17,41,23989,215,Polyurethane,Boiler,Window Units,752362.09
78,16,58443,198,Cellulose,Forced Air,Heat Pump,3559919.45
18,5,85164,41,Mineral Wool,Radiant,Window Units,3285663.3
82,45,84681,416,Cellulose,Geothermal,None,854625.63
35,13,58811,224,Polyurethane,Radiant,Window Units,399662.14
34,40,25542,415,Polyurethane,Heat Pump,Central AC,875387.94
88,35,25725,150,Fiberglass,Boiler,None,698093.39
53,3,12232,442,Mineral Wool,Geothermal,Evaporative,347006.69
60,7,60277,129,Mineral Wool,Geothermal,Heat Pump,997893.89
74,23,85891,411,Cellulose,Radiant,Window Units,4554542.31
23,39,79167,357,Spray Foam,Radiant,Evaporative,3374751.28
89,24,73419,34,Polyurethane,Boiler,Central AC,6209218.74
16,35,71065,311,Spray Foam,Boiler,None,3345172.29
95,14,5688,127,Spray Foam,Radiant,Window Units,412915.0
